Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
1921	44.9746	3.1198			19.5976	2.0140	32.8950	384.0674
1922	44.9876	3.1207			20.0211	2.0134	32.8950	400.8458
1923	45.0006	3.1215			19.7228	2.0129	32.8950	388.9894
1924	45.0136	3.1224			19.6744	2.0123	32.8950	387.0806
1925	45.0266	3.1232			18.8700	2.0118	32.8950	356.0775
1926	45.0396	3.1241			19.6998	2.0112	32.8950	388.0829
1927	45.0526	3.1249			19.7765	2.0107	32.8950	391.1104
1928	45.0656	3.1258			18.8396	2.0101	32.8950	354.9316
1929	45.0786	3.1266			18.9393	2.0096	32.8950	358.6979
1930	45.0916	3.1275			19.3550	2.0090	32.8950	374.6178
1931	45.1046	3.1284			19.2847	2.0085	32.8950	371.9003
1932	45.1176	3.1292			19.1301	2.0079	32.8950	365.9598
1933	45.1306	3.1301			20.0588	2.0074	32.8950	402.3548
1934	45.1436	3.1309			20.0858	2.0068	32.8950	403.4385
1935	45.1566	3.1318			19.6623	2.0063	32.8950	386.6050
1936	45.1696	3.1326			20.1149	2.0057	32.8950	404.6091
1937	45.1826	3.1335			20.4427	2.0052	32.8950	417.9042
1938	45.1956	3.1343			20.4176	2.0046	32.8950	416.8780
1939	45.2086	3.1352			20.2063	2.0041	32.8950	408.2943
1940	45.2216	3.1360			19.9407	2.0035	32.8950	397.6329
1941	45.2346	3.1369			19.4547	2.0030	32.8950	378.4840
1942	45.2476	3.1378			19.4470	2.0024	32.8950	378.1856
1943	45.2606	3.1386			19.1722	2.0019	32.8950	367.5750
1944	45.2736	3.1395			19.3156	2.0014	32.8950	373.0934
1945	45.2866	3.1403			20.3114	2.0008	32.8950	412.5519
1946	45.2996	3.1412			20.2354	2.0003	32.8950	409.4721
1947	45.3126	3.1420			20.7945	1.9997	32.8950	432.4125
1948	45.3256	3.1429			20.0769	1.9992	32.8950	403.0799
1949	45.3386	3.1437			19.2068	1.9986	32.8950	368.9017
1950	45.3516	3.1446			18.9566	1.9981	32.8950	359.3543
1951	45.3646	3.1454			19.2621	1.9976	32.8950	371.0301
1952	45.3776	3.1463			19.7044	1.9970	32.8950	388.2653
1953	45.3906	3.1471			19.5286	1.9965	32.8950	381.3668
1954	45.4036	3.1480			19.4832	1.9959	32.8950	379.5956
1955	45.4166	3.1489			19.7416	1.9954	32.8950	389.7300
1956	45.4296	3.1497			19.7278	1.9948	32.8950	389.1849
1957	45.4426	3.1506			19.0347	1.9943	32.8950	362.3212
1958	45.4556	3.1514			19.2318	1.9938	32.8950	369.8640
1959	45.4686	3.1523			19.4235	1.9932	32.8950	377.2739
1960	45.4816	3.1531			18.8516	1.9927	32.8950	355.3827
1961	45.4946	3.1540			19.0177	1.9921	32.8950	361.6730
1962	45.5076	3.1548			19.1939	1.9916	32.8950	368.4070
1963	45.5206	3.1557			19.1935	1.9911	32.8950	368.3892
1964	45.5336	3.1565			19.0121	1.9905	32.8950	361.4597
1965	45.5466	3.1574			18.3486	1.9900	32.8950	336.6726
1966	45.5596	3.1582			18.7522	1.9895	32.8950	351.6468
1967	45.5726	3.1591			19.5311	1.9889	32.8950	381.4637
1968	45.5856	3.1599			18.9827	1.9884	32.8950	360.3416
1969	45.5986	3.1608			19.0251	1.9878	32.8950	361.9555
1970	45.6116	3.1617			19.4451	1.9873	32.8950	378.1106
1971	45.6246	3.1625			19.1568	1.9868	32.8950	366.9836
