Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
5482	91.2616	5.8309			43.1131	1.0776	32.8950	1858.7368
5483	91.2746	5.8315			43.5222	1.0775	32.8950	1894.1822
5484	91.2876	5.8322			43.2889	1.0773	32.8950	1873.9280
5485	91.3006	5.8328			43.2817	1.0772	32.8950	1873.3076
5486	91.3136	5.8335			43.6402	1.0771	32.8950	1904.4700
5487	91.3266	5.8341			43.8357	1.0770	32.8950	1921.5662
5488	91.3396	5.8348			43.8470	1.0769	32.8950	1922.5563
5489	91.3526	5.8354			43.6084	1.0767	32.8950	1901.6909
5490	91.3656	5.8361			43.1074	1.0766	32.8950	1858.2497
5491	91.3786	5.8367			43.0814	1.0765	32.8950	1856.0086
5492	91.3916	5.8374			44.1055	1.0764	32.8950	1945.2936
5493	91.4046	5.8380			43.8673	1.0763	32.8950	1924.3413
5494	91.4176	5.8386			42.8778	1.0761	32.8950	1838.5032
5495	91.4306	5.8393			43.0702	1.0760	32.8950	1855.0399
5496	91.4436	5.8399			43.6403	1.0759	32.8950	1904.4774
5497	91.4566	5.8406			43.3877	1.0758	32.8950	1882.4920
5498	91.4696	5.8412			42.9531	1.0757	32.8950	1844.9681
5499	91.4826	5.8419			43.1537	1.0755	32.8950	1862.2436
5500	91.4956	5.8425			43.2967	1.0754	32.8950	1874.6069
5501	91.5086	5.8432			43.4405	1.0753	32.8950	1887.0789
5502	91.5216	5.8438			43.3711	1.0752	32.8950	1881.0526
5503	91.5346	5.8445			43.8288	1.0751	32.8950	1920.9626
5504	91.5476	5.8451			43.6950	1.0749	32.8950	1909.2538
5505	91.5606	5.8457			43.5742	1.0748	32.8950	1898.7134
5506	91.5736	5.8464			43.4629	1.0747	32.8950	1889.0248
5507	91.5866	5.8470			43.0992	1.0746	32.8950	1857.5409
5508	91.5996	5.8477			43.0758	1.0745	32.8950	1855.5252
5509	91.6126	5.8483			43.6519	1.0744	32.8950	1905.4873
5510	91.6256	5.8490			44.2304	1.0742	32.8950	1956.3240
5511	91.6386	5.8496			43.8615	1.0741	32.8950	1923.8308
5512	91.6516	5.8503			43.3998	1.0740	32.8950	1883.5449
5513	91.6646	5.8509			43.8263	1.0739	32.8950	1920.7452
5514	91.6776	5.8516			43.4067	1.0738	32.8950	1884.1384
5515	91.6906	5.8522			43.3104	1.0736	32.8950	1875.7870
5516	91.7036	5.8528			43.6115	1.0735	32.8950	1901.9621
5517	91.7166	5.8535			43.8484	1.0734	32.8950	1922.6856
5518	91.7296	5.8541			43.9877	1.0733	32.8950	1934.9142
5519	91.7426	5.8548			43.9895	1.0732	32.8950	1935.0718
5520	91.7556	5.8554			43.5361	1.0731	32.8950	1895.3880
5521	91.7686	5.8561			43.4394	1.0729	32.8950	1886.9789
5522	91.7816	5.8567			42.8647	1.0728	32.8950	1837.3790
5523	91.7946	5.8574			43.0149	1.0727	32.8950	1850.2826
5524	91.8076	5.8580			43.1382	1.0726	32.8950	1860.9062
5525	91.8206	5.8586			43.9388	1.0725	32.8950	1930.6220
5526	91.8336	5.8593			43.3003	1.0723	32.8950	1874.9156
5527	91.8466	5.8599			43.6430	1.0722	32.8950	1904.7094
5528	91.8596	5.8606			43.5779	1.0721	32.8950	1899.0294
5529	91.8726	5.8612			42.5097	1.0720	32.8950	1807.0727
5530	91.8856	5.8619			43.2180	1.0719	32.8950	1867.7947
5531	91.8986	5.8625			44.1990	1.0718	32.8950	1953.5547
5532	91.9116	5.8631			43.6452	1.0716	32.8950	1904.9075
5533	91.9246	5.8638			42.7085	1.0715	32.8950	1824.0158
5534	91.9376	5.8644			43.5464	1.0714	32.8950	1896.2915
5535	91.9506	5.8651			44.2823	1.0713	32.8950	1960.9205
5536	91.9636	5.8657			44.0208	1.0712	32.8950	1937.8341
5537	91.9766	5.8664			42.4235	1.0711	32.8950	1799.7529
5538	91.9896	5.8670			42.7241	1.0709	32.8950	1825.3476
5539	92.0026	5.8676			43.1439	1.0708	32.8950	1861.3967
5540	92.0156	5.8683			43.0351	1.0707	32.8950	1852.0175
5541	92.0286	5.8689			43.5827	1.0706	32.8950	1899.4523
5542	92.0416	5.8696			43.3910	1.0705	32.8950	1882.7792
5543	92.0546	5.8702			43.8039	1.0703	32.8950	1918.7830
5544	92.0676	5.8709			42.4858	1.0702	32.8950	1805.0390
5545	92.0806	5.8715			43.1677	1.0701	32.8950	1863.4535
5546	92.0936	5.8721			43.9954	1.0700	32.8950	1935.5995
5547	92.1066	5.8728			42.9620	1.0699	32.8950	1845.7360
5548	92.1196	5.8734			43.5965	1.0698	32.8950	1900.6583
5549	92.1326	5.8741			43.8300	1.0696	32.8950	1921.0699
5550	92.1456	5.8747			43.1482	1.0695	32.8950	1861.7679
5551	92.1586	5.8754			42.9097	1.0694	32.8950	1841.2383
5552	92.1716	5.8760			43.1308	1.0693	32.8950	1860.2682
5553	92.1846	5.8766			42.4804	1.0692	32.8950	1804.5843
5554	92.1976	5.8773			42.9112	1.0691	32.8950	1841.3676
5555	92.2106	5.8779			43.6138	1.0689	32.8950	1902.1654
5556	92.2236	5.8786			42.6506	1.0688	32.8950	1819.0776
5557	92.2366	5.8792			43.1600	1.0687	32.8950	1862.7869
5558	92.2496	5.8798			43.0754	1.0686	32.8950	1855.4885
5559	92.2626	5.8805			42.9276	1.0685	32.8950	1842.7781
5560	92.2756	5.8811			43.7906	1.0684	32.8950	1917.6132
5561	92.2886	5.8818			43.1522	1.0682	32.8950	1862.1136
5562	92.3016	5.8824			42.9788	1.0681	32.8950	1847.1779
5563	92.3146	5.8831			43.2780	1.0680	32.8950	1872.9884
5564	92.3276	5.8837			43.3382	1.0679	32.8950	1878.1978
5565	92.3406	5.8843			43.7544	1.0678	32.8950	1914.4454
5566	92.3536	5.8850			43.9614	1.0677	32.8950	1932.6061
5567	92.3666	5.8856			43.0120	1.0675	32.8950	1850.0308
5568	92.3796	5.8863			43.4281	1.0674	32.8950	1886.0020
5569	92.3926	5.8869			44.1009	1.0673	32.8950	1944.8879
5570	92.4056	5.8875			43.6409	1.0672	32.8950	1904.5270
5571	92.4186	5.8882			43.2506	1.0671	32.8950	1870.6121
5572	92.4316	5.8888			43.6269	1.0670	32.8950	1903.3103
5573	92.4446	5.8895			43.5747	1.0669	32.8950	1898.7513
5574	92.4576	5.8901			43.4775	1.0667	32.8950	1890.2970
5575	92.4706	5.8907			43.3544	1.0666	32.8950	1879.6040
5576	92.4836	5.8914			43.7954	1.0665	32.8950	1918.0382
5577	92.4966	5.8920			43.0798	1.0664	32.8950	1855.8666
5578	92.5096	5.8927			42.5211	1.0663	32.8950	1808.0404
5579	92.5226	5.8933			42.7495	1.0662	32.8950	1827.5217
5580	92.5356	5.8939			43.3355	1.0660	32.8950	1877.9640
5581	92.5486	5.8946			43.5193	1.0659	32.8950	1893.9317
5582	92.5616	5.8952			43.2700	1.0658	32.8950	1872.2916
5583	92.5746	5.8959			43.5922	1.0657	32.8950	1900.2762
5584	92.5876	5.8965			43.7853	1.0656	32.8950	1917.1510
5585	92.6006	5.8971			43.1041	1.0655	32.8950	1857.9600
5586	92.6136	5.8978			43.2306	1.0653	32.8950	1868.8817
5587	92.6266	5.8984			43.7220	1.0652	32.8950	1911.6100
5588	92.6396	5.8991			43.3158	1.0651	32.8950	1876.2582
5589	92.6526	5.8997			43.0449	1.0650	32.8950	1852.8665
5590	92.6656	5.9003			43.9713	1.0649	32.8950	1933.4716
5591	92.6786	5.9010			43.8078	1.0648	32.8950	1919.1277
5592	92.6916	5.9016			43.6694	1.0647	32.8950	1907.0121
5593	92.7046	5.9022			43.3870	1.0645	32.8950	1882.4312
5594	92.7176	5.9029			42.7685	1.0644	32.8950	1829.1454
5595	92.7306	5.9035			43.1488	1.0643	32.8950	1861.8172
5596	92.7436	5.9042			43.6650	1.0642	32.8950	1906.6279
5597	92.7566	5.9048			43.9838	1.0641	32.8950	1934.5757
