Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
2642	54.3496	3.7253			20.5880	1.6866	32.8950	423.8673
2643	54.3626	3.7261			20.5183	1.6863	32.8950	421.0000
2644	54.3756	3.7269			20.7811	1.6859	32.8950	431.8549
2645	54.3886	3.7277			19.7056	1.6855	32.8950	388.3091
2646	54.4016	3.7286			19.8595	1.6851	32.8950	394.3985
2647	54.4146	3.7294			20.0622	1.6848	32.8950	402.4912
2648	54.4276	3.7302			20.3117	1.6844	32.8950	412.5635
2649	54.4406	3.7310			20.3783	1.6840	32.8950	415.2743
2650	54.4536	3.7319			21.0115	1.6837	32.8950	441.4851
2651	54.4666	3.7327			21.0266	1.6833	32.8950	442.1175
2652	54.4796	3.7335			20.2180	1.6829	32.8950	408.7693
2653	54.4926	3.7343			19.8825	1.6826	32.8950	395.3140
2654	54.5056	3.7351			20.3453	1.6822	32.8950	413.9315
2655	54.5186	3.7360			20.5183	1.6818	32.8950	421.0014
2656	54.5316	3.7368			20.5099	1.6814	32.8950	420.6563
2657	54.5446	3.7376			20.5340	1.6811	32.8950	421.6464
2658	54.5576	3.7384			20.4339	1.6807	32.8950	417.5450
2659	54.5706	3.7393			20.6009	1.6803	32.8950	424.3977
2660	54.5836	3.7401			20.5423	1.6800	32.8950	421.9843
2661	54.5966	3.7409			20.6275	1.6796	32.8950	425.4933
2662	54.6096	3.7417			20.8609	1.6792	32.8950	435.1772
2663	54.6226	3.7425			21.1932	1.6789	32.8950	449.1496
2664	54.6356	3.7434			20.7337	1.6785	32.8950	429.8857
2665	54.6486	3.7442			19.9949	1.6781	32.8950	399.7944
2666	54.6616	3.7450			20.3539	1.6777	32.8950	414.2822
2667	54.6746	3.7458			20.6790	1.6774	32.8950	427.6229
2668	54.6876	3.7467			20.2890	1.6770	32.8950	411.6441
2669	54.7006	3.7475			19.6931	1.6766	32.8950	387.8178
2670	54.7136	3.7483			19.9432	1.6763	32.8950	397.7294
